Year,State Population,County Name,State Abbreviation,County Population,BUYER_MME
2011,19116423,NASSAU,FL,74875,64563.82789567522
2011,19116423,OKALOOSA,FL,184131,63730.01040067538
2011,19116423,OKEECHOBEE,FL,40189,49274.62340681254
2011,19116423,ORANGE,FL,1175290,879529.7461212476
2011,19116423,OSCEOLA,FL,281096,188818.98852862584
2011,19116423,PALM BEACH,FL,1340861,1063694.692981361
2011,19116423,PASCO,FL,474069,678130.6519053435
2011,19116423,PINELLAS,FL,924114,1262519.9673723623
2011,19116423,POLK,FL,615337,281211.8444758902
2011,19116423,PUTNAM,FL,74342,96933.5993928753
2011,19116423,ST. JOHNS,FL,198062,92067.24857385072
2011,19116423,ST. LUCIE,FL,282739,273106.06120792637
2011,19116423,SANTA ROSA,FL,154868,90109.91588021295
2011,19116423,SARASOTA,FL,385345,412731.76329697727
2011,19116423,SEMINOLE,FL,428353,521292.2365392405
2011,19116423,SUMTER,FL,97837,54304.06510226263
2011,19116423,SUWANNEE,FL,41885,14079.857971125019
2011,19116423,TAYLOR,FL,22453,10229.764905225009
2011,19116423,UNION,FL,15461,3801.527356574998
2011,19116423,VOLUSIA,FL,501214,396323.02802081447
2011,19116423,WAKULLA,FL,30993,9653.313382725004
2011,19116423,WALTON,FL,57085,35063.18099358754
2011,19116423,WASHINGTON,FL,24894,13964.081089987509
2012,19428266,ALACHUA,FL,252991,127727.61302156346
2012,19428266,BAKER,FL,27425,21659.461650000023
2012,19428266,BAY,FL,172960,73272.6533513257
2012,19428266,BRADFORD,FL,28324,16872.471022500013
2012,19428266,BREVARD,FL,556742,363107.37734235154
2012,19428266,BROWARD,FL,1798924,809178.9096923735
2012,19428266,CALHOUN,FL,14615,2793.381479999999
2012,19428266,CHARLOTTE,FL,166222,120917.4271983758
2012,19428266,CITRUS,FL,142905,101576.39330385061
2012,19428266,CLAY,FL,197167,134424.4062445136
2012,19428266,COLLIER,FL,335763,141917.0842426886
2012,19428266,COLUMBIA,FL,68270,49737.84483000016
2012,19428266,DESOTO,FL,35518,16695.97379250002
2012,19428266,DIXIE,FL,16492,3326.2425943125
2012,19428266,DUVAL,FL,885745,555328.0796860204
2012,19428266,ESCAMBIA,FL,302098,129016.23428400155
2012,19428266,FLAGLER,FL,99795,54252.292179525146
2012,19428266,FRANKLIN,FL,11595,2741.930692499999
2012,19428266,GADSDEN,FL,47282,8671.229358862503
2012,19428266,GILCHRIST,FL,17269,5469.281212499996
2012,19428266,GLADES,FL,13091,1898.2095000000002
2012,19428266,GULF,FL,15937,4012.6529024999977
2012,19428266,HAMILTON,FL,14677,2549.6674875
2012,19428266,HARDEE,FL,27609,7940.830061362504
